Training: 2023-07-17 05:18:02,220-rank_id: 0
Training: 2023-07-17 05:21:06,425-Speed 1506.77 samples/sec   Loss 38.2710   LearningRate 0.011658   Epoch: 0   Global Step: 1350   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:07,290-Speed 1480.48 samples/sec   Loss 38.7648   LearningRate 0.011744   Epoch: 0   Global Step: 1360   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:08,133-Speed 1519.74 samples/sec   Loss 38.4660   LearningRate 0.011831   Epoch: 0   Global Step: 1370   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:08,971-Speed 1530.76 samples/sec   Loss 38.6384   LearningRate 0.011917   Epoch: 0   Global Step: 1380   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:09,795-Speed 1554.11 samples/sec   Loss 38.4030   LearningRate 0.012003   Epoch: 0   Global Step: 1390   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:10,611-Speed 1570.08 samples/sec   Loss 38.3425   LearningRate 0.012090   Epoch: 0   Global Step: 1400   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:11,476-Speed 1481.26 samples/sec   Loss 38.3338   LearningRate 0.012176   Epoch: 0   Global Step: 1410   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:12,303-Speed 1549.41 samples/sec   Loss 38.5770   LearningRate 0.012263   Epoch: 0   Global Step: 1420   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:13,125-Speed 1559.80 samples/sec   Loss 38.1205   LearningRate 0.012349   Epoch: 0   Global Step: 1430   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:14,010-Speed 1447.03 samples/sec   Loss 38.3559   LearningRate 0.012435   Epoch: 0   Global Step: 1440   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:14,880-Speed 1472.14 samples/sec   Loss 38.1758   LearningRate 0.012522   Epoch: 0   Global Step: 1450   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:15,669-Speed 1625.02 samples/sec   Loss 38.2972   LearningRate 0.012608   Epoch: 0   Global Step: 1460   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:16,512-Speed 1520.03 samples/sec   Loss 38.2266   LearningRate 0.012694   Epoch: 0   Global Step: 1470   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:17,374-Speed 1485.31 samples/sec   Loss 38.2653   LearningRate 0.012781   Epoch: 0   Global Step: 1480   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:18,217-Speed 1520.08 samples/sec   Loss 38.0312   LearningRate 0.012867   Epoch: 0   Global Step: 1490   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:19,124-Speed 1412.30 samples/sec   Loss 38.3255   LearningRate 0.012953   Epoch: 0   Global Step: 1500   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:19,972-Speed 1510.85 samples/sec   Loss 38.2367   LearningRate 0.013040   Epoch: 0   Global Step: 1510   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:20,832-Speed 1489.54 samples/sec   Loss 38.3333   LearningRate 0.013126   Epoch: 0   Global Step: 1520   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:21,677-Speed 1516.98 samples/sec   Loss 38.0583   LearningRate 0.013212   Epoch: 0   Global Step: 1530   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:22,625-Speed 1350.41 samples/sec   Loss 37.7869   LearningRate 0.013299   Epoch: 0   Global Step: 1540   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:23,480-Speed 1507.55 samples/sec   Loss 37.8332   LearningRate 0.013385   Epoch: 0   Global Step: 1550   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:24,314-Speed 1537.37 samples/sec   Loss 37.9671   LearningRate 0.013472   Epoch: 0   Global Step: 1560   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:25,175-Speed 1486.62 samples/sec   Loss 38.0443   LearningRate 0.013558   Epoch: 0   Global Step: 1570   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:26,020-Speed 1516.54 samples/sec   Loss 38.2813   LearningRate 0.013644   Epoch: 0   Global Step: 1580   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:26,873-Speed 1502.41 samples/sec   Loss 37.6808   LearningRate 0.013731   Epoch: 0   Global Step: 1590   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:27,733-Speed 1489.14 samples/sec   Loss 37.8383   LearningRate 0.013817   Epoch: 0   Global Step: 1600   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:28,577-Speed 1518.82 samples/sec   Loss 37.6569   LearningRate 0.013903   Epoch: 0   Global Step: 1610   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:29,392-Speed 1571.60 samples/sec   Loss 37.8789   LearningRate 0.013990   Epoch: 0   Global Step: 1620   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:30,228-Speed 1532.92 samples/sec   Loss 37.8574   LearningRate 0.014076   Epoch: 0   Global Step: 1630   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:31,065-Speed 1529.10 samples/sec   Loss 37.7515   LearningRate 0.014162   Epoch: 0   Global Step: 1640   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:31,921-Speed 1497.16 samples/sec   Loss 37.9556   LearningRate 0.014249   Epoch: 0   Global Step: 1650   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:32,759-Speed 1529.01 samples/sec   Loss 38.1106   LearningRate 0.014335   Epoch: 0   Global Step: 1660   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:33,566-Speed 1587.49 samples/sec   Loss 37.7725   LearningRate 0.014421   Epoch: 0   Global Step: 1670   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:34,430-Speed 1482.45 samples/sec   Loss 37.9018   LearningRate 0.014508   Epoch: 0   Global Step: 1680   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:35,244-Speed 1575.14 samples/sec   Loss 37.6061   LearningRate 0.014594   Epoch: 0   Global Step: 1690   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:36,098-Speed 1500.44 samples/sec   Loss 37.8314   LearningRate 0.014680   Epoch: 0   Global Step: 1700   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:37,008-Speed 1407.86 samples/sec   Loss 37.5634   LearningRate 0.014767   Epoch: 0   Global Step: 1710   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:37,856-Speed 1510.59 samples/sec   Loss 37.8544   LearningRate 0.014853   Epoch: 0   Global Step: 1720   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:38,694-Speed 1527.81 samples/sec   Loss 37.3655   LearningRate 0.014940   Epoch: 0   Global Step: 1730   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:39,680-Speed 1299.24 samples/sec   Loss 37.7619   LearningRate 0.015026   Epoch: 0   Global Step: 1740   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:40,563-Speed 1450.97 samples/sec   Loss 37.6281   LearningRate 0.015112   Epoch: 0   Global Step: 1750   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:41,395-Speed 1540.68 samples/sec   Loss 37.6678   LearningRate 0.015199   Epoch: 0   Global Step: 1760   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:42,236-Speed 1522.80 samples/sec   Loss 37.8099   LearningRate 0.015285   Epoch: 0   Global Step: 1770   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:43,079-Speed 1519.16 samples/sec   Loss 37.6816   LearningRate 0.015371   Epoch: 0   Global Step: 1780   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:43,926-Speed 1512.81 samples/sec   Loss 37.5236   LearningRate 0.015458   Epoch: 0   Global Step: 1790   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:44,783-Speed 1494.08 samples/sec   Loss 37.4522   LearningRate 0.015544   Epoch: 0   Global Step: 1800   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:45,634-Speed 1505.59 samples/sec   Loss 37.5208   LearningRate 0.015630   Epoch: 0   Global Step: 1810   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:46,540-Speed 1414.23 samples/sec   Loss 37.4283   LearningRate 0.015717   Epoch: 0   Global Step: 1820   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:47,408-Speed 1474.81 samples/sec   Loss 37.6818   LearningRate 0.015803   Epoch: 0   Global Step: 1830   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:48,278-Speed 1473.38 samples/sec   Loss 37.6034   LearningRate 0.015889   Epoch: 0   Global Step: 1840   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:49,129-Speed 1505.03 samples/sec   Loss 37.4783   LearningRate 0.015976   Epoch: 0   Global Step: 1850   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:49,958-Speed 1545.28 samples/sec   Loss 37.2801   LearningRate 0.016062   Epoch: 0   Global Step: 1860   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:50,808-Speed 1507.68 samples/sec   Loss 37.3142   LearningRate 0.016149   Epoch: 0   Global Step: 1870   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:51,702-Speed 1433.97 samples/sec   Loss 37.1332   LearningRate 0.016235   Epoch: 0   Global Step: 1880   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:21:52,656-Speed 1341.57 samples/sec   Loss 37.2637   LearningRate 0.016321   Epoch: 0   Global Step: 1890   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:53,446-Speed 1622.37 samples/sec   Loss 37.4234   LearningRate 0.016408   Epoch: 0   Global Step: 1900   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:54,330-Speed 1448.53 samples/sec   Loss 37.1916   LearningRate 0.016494   Epoch: 0   Global Step: 1910   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:55,150-Speed 1562.85 samples/sec   Loss 37.2724   LearningRate 0.016580   Epoch: 0   Global Step: 1920   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:55,975-Speed 1553.08 samples/sec   Loss 37.1127   LearningRate 0.016667   Epoch: 0   Global Step: 1930   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:56,873-Speed 1427.11 samples/sec   Loss 37.2915   LearningRate 0.016753   Epoch: 0   Global Step: 1940   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:57,732-Speed 1490.77 samples/sec   Loss 37.0446   LearningRate 0.016839   Epoch: 0   Global Step: 1950   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:58,596-Speed 1482.33 samples/sec   Loss 37.3785   LearningRate 0.016926   Epoch: 0   Global Step: 1960   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:21:59,414-Speed 1567.42 samples/sec   Loss 37.1356   LearningRate 0.017012   Epoch: 0   Global Step: 1970   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:00,316-Speed 1419.91 samples/sec   Loss 37.1784   LearningRate 0.017098   Epoch: 0   Global Step: 1980   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:01,145-Speed 1544.81 samples/sec   Loss 36.9652   LearningRate 0.017185   Epoch: 0   Global Step: 1990   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:01,959-Speed 1574.77 samples/sec   Loss 36.9771   LearningRate 0.017271   Epoch: 0   Global Step: 2000   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:20,588-Speed 68.71 samples/sec   Loss 37.0521   LearningRate 0.017358   Epoch: 0   Global Step: 2010   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:21,288-Speed 1831.35 samples/sec   Loss 37.1849   LearningRate 0.017444   Epoch: 0   Global Step: 2020   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:21,954-Speed 1922.79 samples/sec   Loss 36.9578   LearningRate 0.017530   Epoch: 0   Global Step: 2030   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:22,743-Speed 1625.14 samples/sec   Loss 36.8624   LearningRate 0.017617   Epoch: 0   Global Step: 2040   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:23,466-Speed 1771.22 samples/sec   Loss 36.6968   LearningRate 0.017703   Epoch: 0   Global Step: 2050   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:24,227-Speed 1685.53 samples/sec   Loss 36.6028   LearningRate 0.017789   Epoch: 0   Global Step: 2060   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:25,065-Speed 1530.43 samples/sec   Loss 36.9287   LearningRate 0.017876   Epoch: 0   Global Step: 2070   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:25,918-Speed 1502.83 samples/sec   Loss 36.7356   LearningRate 0.017962   Epoch: 0   Global Step: 2080   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:26,750-Speed 1540.06 samples/sec   Loss 36.6045   LearningRate 0.018048   Epoch: 0   Global Step: 2090   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:27,679-Speed 1379.31 samples/sec   Loss 36.9083   LearningRate 0.018135   Epoch: 0   Global Step: 2100   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:28,525-Speed 1513.70 samples/sec   Loss 36.6092   LearningRate 0.018221   Epoch: 0   Global Step: 2110   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:29,397-Speed 1469.73 samples/sec   Loss 36.9592   LearningRate 0.018307   Epoch: 0   Global Step: 2120   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:30,260-Speed 1483.45 samples/sec   Loss 36.9192   LearningRate 0.018394   Epoch: 0   Global Step: 2130   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:31,105-Speed 1517.43 samples/sec   Loss 36.8055   LearningRate 0.018480   Epoch: 0   Global Step: 2140   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:32,013-Speed 1410.10 samples/sec   Loss 36.6699   LearningRate 0.018566   Epoch: 0   Global Step: 2150   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:32,801-Speed 1626.66 samples/sec   Loss 36.9709   LearningRate 0.018653   Epoch: 0   Global Step: 2160   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:33,672-Speed 1470.53 samples/sec   Loss 36.7092   LearningRate 0.018739   Epoch: 0   Global Step: 2170   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:34,536-Speed 1483.28 samples/sec   Loss 36.8640   LearningRate 0.018826   Epoch: 0   Global Step: 2180   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:35,391-Speed 1497.56 samples/sec   Loss 37.1072   LearningRate 0.018912   Epoch: 0   Global Step: 2190   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:36,296-Speed 1416.11 samples/sec   Loss 36.8499   LearningRate 0.018998   Epoch: 0   Global Step: 2200   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:37,117-Speed 1560.38 samples/sec   Loss 36.6606   LearningRate 0.019085   Epoch: 0   Global Step: 2210   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:37,945-Speed 1548.02 samples/sec   Loss 36.7755   LearningRate 0.019171   Epoch: 0   Global Step: 2220   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:38,814-Speed 1474.14 samples/sec   Loss 36.4915   LearningRate 0.019257   Epoch: 0   Global Step: 2230   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:39,755-Speed 1360.84 samples/sec   Loss 36.7501   LearningRate 0.019344   Epoch: 0   Global Step: 2240   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:40,592-Speed 1530.76 samples/sec   Loss 36.6599   LearningRate 0.019430   Epoch: 0   Global Step: 2250   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:41,396-Speed 1594.06 samples/sec   Loss 36.7311   LearningRate 0.019516   Epoch: 0   Global Step: 2260   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:42,240-Speed 1517.92 samples/sec   Loss 36.8640   LearningRate 0.019603   Epoch: 0   Global Step: 2270   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:43,080-Speed 1525.57 samples/sec   Loss 36.6754   LearningRate 0.019689   Epoch: 0   Global Step: 2280   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:43,940-Speed 1489.73 samples/sec   Loss 36.9855   LearningRate 0.019775   Epoch: 0   Global Step: 2290   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:44,798-Speed 1492.79 samples/sec   Loss 36.8425   LearningRate 0.019862   Epoch: 0   Global Step: 2300   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:45,652-Speed 1500.48 samples/sec   Loss 36.8230   LearningRate 0.019948   Epoch: 0   Global Step: 2310   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:46,469-Speed 1568.73 samples/sec   Loss 36.6751   LearningRate 0.020035   Epoch: 0   Global Step: 2320   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:47,279-Speed 1580.37 samples/sec   Loss 36.7373   LearningRate 0.020121   Epoch: 0   Global Step: 2330   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:48,109-Speed 1545.27 samples/sec   Loss 36.5777   LearningRate 0.020207   Epoch: 0   Global Step: 2340   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:49,014-Speed 1414.50 samples/sec   Loss 36.5357   LearningRate 0.020294   Epoch: 0   Global Step: 2350   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:22:49,820-Speed 1589.47 samples/sec   Loss 36.6585   LearningRate 0.020380   Epoch: 0   Global Step: 2360   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:50,632-Speed 1579.00 samples/sec   Loss 36.6426   LearningRate 0.020466   Epoch: 0   Global Step: 2370   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:51,461-Speed 1544.95 samples/sec   Loss 36.7746   LearningRate 0.020553   Epoch: 0   Global Step: 2380   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:22:52,284-Speed 1557.90 samples/sec   Loss 36.4844   LearningRate 0.020639   Epoch: 0   Global Step: 2390   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:53,132-Speed 1511.29 samples/sec   Loss 36.7196   LearningRate 0.020725   Epoch: 0   Global Step: 2400   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:54,016-Speed 1448.02 samples/sec   Loss 36.5342   LearningRate 0.020812   Epoch: 0   Global Step: 2410   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:54,856-Speed 1525.59 samples/sec   Loss 36.4811   LearningRate 0.020898   Epoch: 0   Global Step: 2420   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:55,697-Speed 1522.39 samples/sec   Loss 36.3880   LearningRate 0.020984   Epoch: 0   Global Step: 2430   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:56,574-Speed 1461.80 samples/sec   Loss 36.7780   LearningRate 0.021071   Epoch: 0   Global Step: 2440   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:57,419-Speed 1516.02 samples/sec   Loss 36.6376   LearningRate 0.021157   Epoch: 0   Global Step: 2450   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:58,283-Speed 1483.41 samples/sec   Loss 36.8030   LearningRate 0.021244   Epoch: 0   Global Step: 2460   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:59,133-Speed 1505.68 samples/sec   Loss 36.2363   LearningRate 0.021330   Epoch: 0   Global Step: 2470   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:22:59,921-Speed 1627.75 samples/sec   Loss 36.3458   LearningRate 0.021416   Epoch: 0   Global Step: 2480   Fp16 Grad Scale: 65536   Required: 3 hours
Training: 2023-07-17 05:23:00,811-Speed 1439.17 samples/sec   Loss 36.4632   LearningRate 0.021503   Epoch: 0   Global Step: 2490   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:01,702-Speed 1438.78 samples/sec   Loss 36.6367   LearningRate 0.021589   Epoch: 0   Global Step: 2500   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:02,645-Speed 1358.09 samples/sec   Loss 36.2198   LearningRate 0.021675   Epoch: 0   Global Step: 2510   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:03,486-Speed 1523.57 samples/sec   Loss 36.3240   LearningRate 0.021762   Epoch: 0   Global Step: 2520   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:04,357-Speed 1471.62 samples/sec   Loss 36.5489   LearningRate 0.021848   Epoch: 0   Global Step: 2530   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:05,165-Speed 1585.61 samples/sec   Loss 36.6965   LearningRate 0.021934   Epoch: 0   Global Step: 2540   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:06,010-Speed 1515.93 samples/sec   Loss 36.7322   LearningRate 0.022021   Epoch: 0   Global Step: 2550   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:06,836-Speed 1549.49 samples/sec   Loss 36.6231   LearningRate 0.022107   Epoch: 0   Global Step: 2560   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:07,683-Speed 1513.78 samples/sec   Loss 36.1189   LearningRate 0.022193   Epoch: 0   Global Step: 2570   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:08,599-Speed 1398.48 samples/sec   Loss 36.4494   LearningRate 0.022280   Epoch: 0   Global Step: 2580   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:09,436-Speed 1531.11 samples/sec   Loss 36.2746   LearningRate 0.022366   Epoch: 0   Global Step: 2590   Fp16 Grad Scale: 262144   Required: 3 hours
Training: 2023-07-17 05:23:10,273-Speed 1530.30 samples/sec   Loss 36.2960   LearningRate 0.022453   Epoch: 0   Global Step: 2600   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:11,104-Speed 1540.65 samples/sec   Loss 36.3135   LearningRate 0.022539   Epoch: 0   Global Step: 2610   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:11,930-Speed 1550.25 samples/sec   Loss 36.4571   LearningRate 0.022625   Epoch: 0   Global Step: 2620   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:12,815-Speed 1448.61 samples/sec   Loss 36.5419   LearningRate 0.022712   Epoch: 0   Global Step: 2630   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:13,665-Speed 1509.60 samples/sec   Loss 36.6022   LearningRate 0.022798   Epoch: 0   Global Step: 2640   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:14,485-Speed 1562.78 samples/sec   Loss 36.2406   LearningRate 0.022884   Epoch: 0   Global Step: 2650   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:15,329-Speed 1518.59 samples/sec   Loss 36.2896   LearningRate 0.022971   Epoch: 0   Global Step: 2660   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:16,195-Speed 1478.13 samples/sec   Loss 36.4922   LearningRate 0.023057   Epoch: 0   Global Step: 2670   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:17,028-Speed 1537.44 samples/sec   Loss 36.4223   LearningRate 0.023143   Epoch: 0   Global Step: 2680   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:17,862-Speed 1536.70 samples/sec   Loss 35.8541   LearningRate 0.023230   Epoch: 0   Global Step: 2690   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:18,680-Speed 1566.65 samples/sec   Loss 36.5730   LearningRate 0.023316   Epoch: 0   Global Step: 2700   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:19,535-Speed 1498.18 samples/sec   Loss 36.5925   LearningRate 0.023402   Epoch: 0   Global Step: 2710   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:20,414-Speed 1458.43 samples/sec   Loss 36.3983   LearningRate 0.023489   Epoch: 0   Global Step: 2720   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:21,371-Speed 1338.35 samples/sec   Loss 36.1188   LearningRate 0.023575   Epoch: 0   Global Step: 2730   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:22,248-Speed 1461.38 samples/sec   Loss 36.4228   LearningRate 0.023661   Epoch: 0   Global Step: 2740   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:23,192-Speed 1355.68 samples/sec   Loss 36.2186   LearningRate 0.023748   Epoch: 0   Global Step: 2750   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:24,101-Speed 1410.17 samples/sec   Loss 36.0645   LearningRate 0.023834   Epoch: 0   Global Step: 2760   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:25,001-Speed 1423.98 samples/sec   Loss 36.2982   LearningRate 0.023921   Epoch: 0   Global Step: 2770   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:25,823-Speed 1558.47 samples/sec   Loss 36.5014   LearningRate 0.024007   Epoch: 0   Global Step: 2780   Fp16 Grad Scale: 131072   Required: 3 hours
Training: 2023-07-17 05:23:26,643-Speed 1562.01 samples/sec   Loss 36.5902   LearningRate 0.024093   Epoch: 0   Global Step: 2790   Fp16 Grad Scale: 131072   Required: 3 hours
